cropName,moisture,size,colorScore,freshnessDays,damagePercent,marketDemand,quality,price
Wheat,12,Medium,7,5,2,High,High,2400
Wheat,18,Small,5,10,8,Low,Low,1200
Wheat,14,Large,8,3,1,Medium,High,2600
Rice,11,Large,9,2,1,High,High,3200
Rice,20,Small,4,15,12,Low,Low,1100
Rice,15,Medium,7,6,4,Medium,Medium,2100
Rice,13,Large,8,3,2,High,High,3100
Tomato,10,Large,9,1,1,High,High,4500
Tomato,22,Small,3,20,18,Low,Low,800
Tomato,14,Medium,7,4,5,Medium,Medium,2800
Tomato,12,Large,9,2,1,High,High,4200
Onion,13,Medium,8,4,3,High,High,3800
Onion,19,Small,5,12,10,Low,Low,950
Onion,15,Large,7,6,5,Medium,Medium,2500
Potato,12,Large,8,5,2,High,High,2900
Potato,20,Small,4,14,11,Low,Low,900
Potato,14,Medium,7,7,4,Medium,Medium,1900
Cotton,10,Large,9,3,1,High,High,7800
Cotton,18,Small,5,10,9,Low,Low,4200
Cotton,13,Medium,7,5,4,Medium,Medium,6100
Maize,12,Large,8,4,2,High,High,2100
Maize,19,Small,4,12,10,Low,Low,900
Maize,14,Medium,7,6,5,Medium,Medium,1500
Wheat,11,Large,9,2,1,High,High,2700
Wheat,16,Medium,6,8,6,Medium,Medium,1800
Wheat,22,Small,3,18,15,Low,Low,1000
Rice,12,Medium,8,4,2,High,High,2900
Rice,17,Small,5,11,8,Low,Low,1300
Tomato,11,Large,9,2,1,High,High,4800
Tomato,16,Medium,6,8,6,Medium,Medium,2500
Tomato,21,Small,3,18,16,Low,Low,700
Onion,11,Large,9,3,1,High,High,4100
Onion,16,Medium,7,7,5,Medium,Medium,2700
Onion,22,Small,4,15,13,Low,Low,800
Potato,11,Large,9,4,1,High,High,3200
Potato,17,Medium,6,8,6,Medium,Medium,2000
Potato,23,Small,3,16,14,Low,Low,850
Cotton,11,Large,9,2,1,High,High,8200
Cotton,16,Medium,6,7,6,Medium,Medium,6500
Cotton,21,Small,4,13,12,Low,Low,3900
Maize,11,Large,8,4,2,High,High,2300
Maize,16,Medium,6,8,6,Medium,Medium,1600
Maize,21,Small,3,14,12,Low,Low,850
Wheat,13,Medium,8,4,3,High,High,2500
Rice,14,Large,8,4,3,High,High,3000
Tomato,13,Medium,8,3,3,High,High,4000
Onion,12,Large,8,5,2,High,High,3500
Potato,13,Medium,7,6,3,High,Medium,2400
Cotton,12,Large,9,3,2,High,High,7500
Maize,13,Medium,7,5,3,High,Medium,1800
Wheat,15,Small,6,9,7,Medium,Medium,1600
Rice,16,Small,6,9,7,Medium,Medium,1900
Tomato,15,Small,6,9,7,Medium,Medium,2200
Onion,14,Small,6,9,6,Medium,Medium,2300
Potato,15,Small,6,9,7,Medium,Medium,1700
Cotton,14,Small,6,8,7,Medium,Medium,5800
Maize,15,Small,6,9,7,Medium,Medium,1400
